Galaxy Name	Radius	Total Mass Density	Visible Mass Density	Dark Matter Density
NGC2903	0.160000, 0.480000, 0.800000, 1.120000, 1.440000, 1.760000, 2.080000, 2.400000, 2.720000, 3.040000, 3.360000, 3.680000, 4.320000, 5.280000, 6.240000, 7.200000, 8.160000, 9.120000, 10.080000, 11.040000, 12.000000, 12.960000, 13.920000, 14.880000, 15.840000, 16.800000, 17.760000, 18.720000, 19.680000, 20.640000, 21.600000, 22.560000, 23.520000, 24.480000	1018856594.638085, 470334036.013567, 1188148990.963336, 636074197.456656, 677463369.580305, 785360914.133859, 540250250.818905, 600488387.483619, 531919623.581263, 471738899.334961, 422215523.627870, 390150842.532966, 125455540.488275, 85928766.533787, 73875323.281107, 58551365.556987, 52380687.272860, 45231003.251135, 39922828.406168, 35308573.209825, 32377485.862532, 27986288.218817, 25919724.182807, 23179080.849034, 22092152.517568, 20839616.486496, 18777962.988503, 18177656.212455, 16880453.350970, 15038679.485814, 14320909.487868, 13405641.311052, 14552714.481527, 11814110.950113	20594350697.812515, 3327099177.669187, 2407725486.640693, 1495032577.148827, 1295785692.470403, 1000287478.643272, 1116477941.526646, 1099049419.747692, 1006485329.632478, 952983918.135070, 781686859.188354, 688564119.879188, 198515491.531959, 121903759.530692, 95329478.924282, 65763970.176115, 56881752.223767, 41755315.898369, 37895438.455150, 29135824.922585, 26788778.749911, 20930358.131078, 19707296.176103, 15619339.846148, 15107656.657354, 12103149.837558, 11928173.338822, 9681862.367995, 9651305.448195, 7927853.740299, 7999433.549124, 6615925.817322, 6770198.214350, 5633477.646839	-19575494103.174431, -2856765141.655619, -1219576495.677357, -858958379.692171, -618322322.890098, -214926564.509413, -576227690.707742, -498561032.264073, -474565706.051216, -481245018.800109, -359471335.560485, -298413277.346222, -73059951.043684, -35974992.996905, -21454155.643175, -7212604.619127, -4501064.950907, 3475687.352766, 2027389.951018, 6172748.287240, 5588707.112621, 7055930.087739, 6212428.006703, 7559741.002886, 6984495.860214, 8736466.648938, 6849789.649682, 8495793.844460, 7229147.902774, 7110825.745515, 6321475.938744, 6789715.493730, 7782516.267177, 6180633.303274
NGC2915	0.170000, 0.505000, 0.835000, 1.170000, 1.510000, 1.845000, 2.175000, 2.505000, 2.840000, 3.180000, 3.515000, 3.850000, 4.185000, 4.515000, 4.850000, 5.185000, 5.520000, 5.860000, 6.195000, 6.525000, 6.855000, 7.190000, 7.530000, 7.865000, 8.200000, 8.535000, 8.865000, 9.200000, 9.535000, 9.870000	84960560.209461, 122518822.861206, 50223401.973296, 105996357.377480, 80426856.121898, 86172293.538603, 86705599.584771, 93933171.856454, 76061532.118654, 61526331.717339, 51275891.852153, 56685465.822849, 44780875.863520, 42269246.755159, 37118803.870498, 39526988.946312, 33116774.487603, 31315849.201039, 27414811.517593, 31949731.889930, 22696669.326992, 25145696.697464, 22869505.885795, 25330546.535190, 21813234.773675, 22962714.270206, 23581061.490106, 22102837.585699, 21052143.829684, 21668188.869226	942558655.103413, 196335701.053072, 103803210.067379, 54561592.251938, 37383443.316909, 25435947.715859, 20083719.407863, 14635357.474578, 11683030.862057, 8890543.107561, 8171510.067818, 6526336.476013, 6278441.223767, 5346700.652022, 4829458.262036, 4198479.689782, 3777820.127136, 3242352.857017, 3253940.949713, 2948883.460098, 2980508.609325, 2647386.011676, 2514908.546869, 2451376.156657, 2307698.257238, 2238899.939986, 2215162.003289, 1998371.026852, 2057156.022524, 1809309.793248	-857598094.893952, -73816878.191866, -53579808.094083, 51434765.125542, 43043412.804989, 60736345.822744, 66621880.176908, 79297814.381876, 64378501.256597, 52635788.609778, 43104381.784334, 50159129.346836, 38502434.639753, 36922546.103137, 32289345.608462, 35328509.256529, 29338954.360467, 28073496.344022, 24160870.567880, 29000848.429832, 19716160.717667, 22498310.685788, 20354597.338926, 22879170.378532, 19505536.516437, 20723814.330220, 21365899.486817, 20104466.558847, 18994987.807161, 19858879.075978
NGC2955	0.375000, 1.150000, 1.925000, 2.680000, 3.455000, 4.230000, 4.985000, 5.740000, 6.515000, 7.285000, 8.040000, 8.640000, 9.035000, 10.015000, 11.190000, 11.980000, 13.285000, 15.525000, 18.185000, 20.840000, 23.495000, 26.155000, 28.815000, 32.775000	2736267467.056508, 692852881.084675, 519181599.264136, 389647627.613720, 223025136.607702, 233828486.511256, 202372423.758711, 164181524.258911, 127299728.243014, 100042934.887324, 106624532.029854, 185794343.678933, 162871974.037498, 48118045.636993, 80517438.435032, 78804775.331468, 31149681.900795, 20136032.290480, 15595484.785008, 12716426.792154, 10048057.014383, 9372111.668797, 7325935.139578, 2957811.996466	2823253439.533576, 1051542194.754437, 642546217.972656, 563161913.201140, 395567756.853476, 352149366.126656, 279299520.707799, 247542883.030799, 200389215.653783, 195630888.815822, 162026493.598829, 253448352.505095, 290666197.411526, 60284104.829601, 96096444.839128, 86127816.329802, 34871081.632320, 19051705.406013, 15658900.149274, 11587491.656327, 9872316.031082, 7529184.223107, 6697102.548030, 2562670.796041	-86985972.477068, -358689313.669762, -123364618.708521, -173514285.587421, -172542620.245774, -118320879.615399, -76927096.949088, -83361358.771887, -73089487.410769, -95587953.928498, -55401961.568975, -67654008.826162, -127794223.374028, -12166059.192608, -15579006.404096, -7323040.998334, -3721399.731526, 1084326.884467, -63415.364265, 1128935.135827, 175740.983300, 1842927.445690, 628832.591548, 395141.200425
NGC2976	0.055000, 0.140000, 0.205000, 0.275000, 0.345000, 0.415000, 0.485000, 0.555000, 0.625000, 0.695000, 0.765000, 0.835000, 0.905000, 0.975000, 1.045000, 1.110000, 1.175000, 1.250000, 1.320000, 1.385000, 1.455000, 1.525000, 1.595000, 1.685000, 1.835000, 2.015000, 2.185000	205939720.777827, 154299432.815393, 222453372.408742, 286033143.724836, 374101779.892146, 292169578.438165, 252410905.045516, 300450680.604636, 308867484.658702, 351710803.250426, 354826509.533621, 379305758.882920, 386758911.650286, 326455708.494923, 386059534.284451, 506859414.240484, 527496040.553617, 444062777.584639, 598902765.029071, 510116464.823356, 529296580.190072, 530654090.999191, 564384669.861573, 377450835.000439, 196954024.479356, 247121839.169464, 155192923.957881	644202962.201298, 378262574.923020, 409837151.086629, 339043269.662340, 356461346.403769, 333607415.907122, 353661446.875032, 350661255.897377, 364155275.965695, 364689659.243391, 377846246.909920, 380478758.009944, 401316867.453782, 425810152.116370, 451964646.449456, 528745555.671771, 512327751.315319, 470405516.784582, 627452411.195918, 581413175.418150, 579266739.182613, 607676475.411117, 589691136.960988, 397768158.025209, 186656420.322919, 187121418.743646, 158053898.751550	-438263241.423471, -223963142.107628, -187383778.677887, -53010125.937504, 17640433.488377, -41437837.468957, -101250541.829515, -50210575.292740, -55287791.306994, -12978855.992966, -23019737.376299, -1172999.127024, -14557955.803496, -99354443.621447, -65905112.165005, -21886141.431286, 15168289.238299, -26342739.199943, -28549646.166847, -71296710.594794, -49970158.992542, -77022384.411926, -25306467.099415, -20317323.024770, 10297604.156436, 60000420.425817, -2860974.793669
NGC2998	0.165000, 0.660000, 1.485000, 2.310000, 3.135000, 5.610000, 10.045000, 14.990000, 19.970000, 24.950000, 29.880000, 34.810000, 39.790000	4008342316.177428, 738003197.102468, 242582080.639834, 278442367.826855, 167888873.207775, 31883847.830061, 12160134.066927, 7055639.666074, 5177760.455638, 3934273.694831, 3229749.831935, 2695828.078499, 1900252.056006	982585043.161862, 458527179.994147, 211299423.772093, 185131550.650574, 190477792.766957, 37471599.728388, 11027685.996403, 6624939.278354, 3052493.361360, 2775270.201017, 1605193.543794, 1486512.699341, 889110.232110	3025757273.015567, 279476017.108322, 31282656.867741, 93310817.176281, -22588919.559181, -5587751.898327, 1132448.070525, 430700.387721, 2125267.094278, 1159003.493814, 1624556.288141, 1209315.379158, 1011141.823896
NGC3109	0.130000, 0.390000, 0.645000, 0.900000, 1.160000, 1.420000, 1.680000, 1.935000, 2.190000, 2.450000, 2.710000, 2.970000, 3.225000, 3.480000, 3.740000, 4.000000, 4.255000, 4.510000, 4.770000, 5.030000, 5.290000, 5.545000, 5.800000, 6.060000, 6.320000	29663380.223176, 24333606.374193, 19683622.004688, 22054321.072882, 25635522.970229, 29900456.543046, 30644279.760237, 33568743.850069, 35090947.313698, 25040380.140153, 39258989.421639, 26286000.584949, 36037985.841134, 28063724.539506, 32872673.481566, 25581513.003620, 33942553.912745, 25983147.033224, 32485951.096240, 26166472.365203, 31828186.396652, 28634840.448775, 28360440.757989, 25048473.254216, 27494936.634779	6958179.197527, 5125488.628250, 7135199.925960, 6626356.944331, 7910050.882059, 7348561.115892, 7805678.710532, 7544807.877239, 6911749.303273, 6255207.854954, 5965499.771764, 5740843.498169, 5934241.864210, 5406114.289700, 4607888.632408, 4352560.766319, 4294035.004646, 4067648.351648, 3922546.536090, 3847535.483678, 3821981.081844, 3909895.231191, 3490710.878296, 3211608.281067, 3026492.829877	22705201.025649, 19208117.745943, 12548422.078728, 15427964.128551, 17725472.088170, 22551895.427154, 22838601.049706, 26023935.972830, 28179198.010425, 18785172.285199, 33293489.649875, 20545157.086780, 30103743.976924, 22657610.249807, 28264784.849158, 21228952.237302, 29648518.908099, 21915498.681576, 28563404.560149, 22318936.881525, 28006205.314808, 24724945.217584, 24869729.879693, 21836864.973149, 24468443.804902
NGC3198	0.160000, 0.480000, 0.800000, 1.120000, 1.445000, 1.770000, 2.085000, 2.405000, 2.730000, 3.050000, 3.375000, 3.695000, 4.010000, 4.335000, 4.660000, 4.985000, 5.305000, 5.620000, 5.940000, 6.265000, 6.585000, 6.900000, 7.550000, 8.540000, 9.540000, 10.540000, 11.545000, 13.050000, 15.060000, 17.100000, 19.090000, 21.085000, 23.075000, 25.065000, 27.130000, 29.120000, 31.110000, 33.100000, 35.090000, 37.155000, 39.145000, 41.135000, 43.125000	313319453.607299, 237153307.206189, 84655338.622505, 151233609.952403, 109496299.136164, 128567837.124698, 104668411.186333, 108441593.766849, 120289280.081554, 97133609.630039, 116598166.963168, 104950575.542890, 112840679.156865, 90863853.363216, 119789230.938956, 94979530.165969, 112520668.111019, 95630463.988421, 104564251.923632, 88620577.787516, 101335591.123641, 87996337.836852, 31819274.859681, 24336882.605246, 26235143.913401, 21359385.860530, 21477117.862770, 9751571.247960, 7474554.596827, 6954434.736217, 6208108.718558, 5378900.403876, 4676107.640519, 4342445.191698, 3579233.217338, 3738097.200479, 3202625.521615, 3333402.808318, 2836984.074184, 2810086.354841, 2792697.291799, 2531535.495450, 2451738.707914	2107369299.139676, 514783669.812736, 328676766.806694, 220341131.422872, 167747804.622809, 123079587.675476, 134152461.752691, 96174409.042454, 95186596.730485, 94057664.459855, 98693148.504371, 104686620.353719, 108050829.556966, 99673125.413625, 107226612.809467, 98369549.890560, 107357981.774056, 99251559.162116, 100591516.258318, 92707676.109648, 94313066.916083, 83487130.431269, 25479673.653178, 19415394.814281, 18036319.439125, 15151195.545411, 14051981.899139, 5650990.862222, 4000102.953990, 3246225.419076, 2799679.464907, 2210401.943833, 1952486.456416, 1623995.030053, 1378868.540874, 1315999.852301, 1054140.922984, 1046732.872926, 874833.795094, 812231.949238, 796166.902502, 713335.054004, 653213.506165	-1794049845.532377, -277630362.606548, -244021428.184189, -69107521.470469, -58251505.486645, 5488249.449222, -29484050.566358, 12267184.724394, 25102683.351069, 3075945.170184, 17905018.458798, 263955.189171, 4789849.599900, -8809272.050409, 12562618.129489, -3390019.724591, 5162686.336963, -3621095.173694, 3972735.665314, -4087098.322132, 7022524.207558, 4509207.405583, 6339601.206503, 4921487.790965, 8198824.474276, 6208190.315120, 7425135.963632, 4100580.385738, 3474451.642838, 3708209.317142, 3408429.253652, 3168498.460043, 2723621.184103, 2718450.161645, 2200364.676464, 2422097.348178, 2148484.598631, 2286669.935392, 1962150.279090, 1997854.405602, 1996530.389298, 1818200.441447, 1798525.201749
NGC3521	0.255000, 0.600000, 0.775000, 0.945000, 1.115000, 1.290000, 1.465000, 1.630000, 1.800000, 1.975000, 2.145000, 2.320000, 2.495000, 2.665000, 2.835000, 3.005000, 3.175000, 3.345000, 3.520000, 3.695000, 3.865000, 4.035000, 4.205000, 4.375000, 4.550000, 4.725000, 4.895000, 5.065000, 5.235000, 5.405000, 5.580000, 5.755000, 5.925000, 6.100000, 6.270000, 6.495000, 7.730000, 9.945000, 12.195000, 14.405000, 16.615000	4236813889.890632, 1990698479.769919, 3506819040.767891, 1934247596.747378, 2169237169.967719, 1610748495.825079, 1695613313.179305, 1519525385.527232, 1360757665.781126, 1285905872.549729, 1364725569.425730, 981927592.759941, 1105763187.979811, 886378319.676787, 909183102.810715, 846209988.495337, 791930008.359036, 742020897.267801, 710902352.084039, 694209383.957173, 705349493.880524, 646808062.107715, 622620649.535864, 616355229.308960, 544231037.402022, 527674526.945594, 571165364.292214, 474522690.975233, 486337028.144310, 461596581.591825, 438775066.184488, 369270090.257034, 464589645.578860, 339171813.428623, 484872022.627096, 180623024.577207, 36430964.995653, 17864858.525808, 18360868.138822, 12516486.923059, 12661414.475353	7934691792.872307, 3273191641.114280, 5798299529.749730, 3238230040.948001, 3789233651.421447, 2417491226.057014, 2852411800.716595, 2376929263.505102, 2294063027.310030, 2060646691.764647, 2131782764.730991, 1706144592.407162, 1742589601.099126, 1549649843.795880, 1511487529.642521, 1397533516.512020, 1360018175.241853, 1287435786.841242, 1164484817.384638, 1190268768.429501, 1133014081.908387, 1102330816.116007, 1022220647.300515, 990669160.016418, 848623743.727891, 863859473.945241, 782611586.554562, 761899492.760727, 690688959.082968, 676241757.668751, 581328106.172916, 604377246.088937, 553244936.872776, 516909433.574920, 532436455.456365, 287706553.421014, 27738782.955885, 16869597.264441, 11370120.710936, 8467071.912597, 5900011.830698	-3697877902.981675, -1282493161.344361, -2291480488.981839, -1303982444.200623, -1619996481.453728, -806742730.231935, -1156798487.537289, -857403877.977870, -933305361.528903, -774740819.214918, -767057195.305261, -724216999.647220, -636826413.119315, -663271524.119093, -602304426.831806, -551323528.016683, -568088166.882817, -545414889.573440, -453582465.300599, -496059384.472327, -427664588.027863, -455522754.008292, -399599997.764651, -374313930.707458, -304392706.325869, -336184946.999647, -211446222.262349, -287376801.785494, -204351930.938658, -214645176.076926, -142553039.988428, -235107155.831903, -88655291.293916, -177737620.146297, -47564432.829269, -107083528.843807, 8692182.039768, 995261.261367, 6990747.427886, 4049415.010462, 6761402.644655
NGC3726	1.750000, 4.370000, 6.110000, 7.850000, 9.595000, 11.330000, 13.065000, 14.985000, 19.165000, 24.910000, 28.800000, 31.300000	45769052.230011, 24255662.015862, 27823458.822416, 22230884.316271, 15736936.963506, 13847232.048272, 10130575.892758, 6610290.301891, 2966575.148553, 2171617.449139, 3940590.006934, 3311099.521058	84057446.298227, 39504747.196499, 40522189.896965, 24786166.251119, 19727233.824026, 14380543.631634, 12442471.567232, 7230128.021149, 1597182.347138, 958630.683434, 1699260.676574, 1281678.270002	-38288394.068216, -15249085.180636, -12698731.074549, -2555281.934847, -3990296.860520, -533311.583362, -2311895.674474, -619837.719258, 1369392.801415, 1212986.765705, 2241329.330360, 2029421.251055
NGC3741	0.115000, 0.350000, 0.585000, 0.815000, 1.050000, 1.285000, 1.520000, 1.755000, 1.985000, 2.215000, 2.450000, 2.685000, 3.030000, 3.495000, 3.970000, 4.440000, 4.905000, 5.375000, 5.840000, 6.305000, 6.770000	174821395.947037, 59499060.851172, 65042755.134038, 40849107.786230, 35735467.133384, 22849611.575049, 24145196.218857, 26592297.541974, 23124177.443519, 21780415.897224, 25596963.119129, 23630294.263274, 14569850.880997, 10525115.449065, 11959979.254612, 10176065.964716, 11030446.681885, 9355139.003368, 9407576.900031, 7875230.762281, 8894232.430419	143192893.583156, 40464822.338491, 18331230.608290, 12566703.430503, 7485241.186810, 6176647.045845, 4474056.220356, 3911320.732324, 3218148.778883, 3132618.252772, 2711158.386636, 2829891.765978, 1399964.520870, 1143057.865473, 1143041.996015, 982513.415444, 970458.969205, 775497.118068, 781515.381900, 613320.830550, 619562.592390	31628502.363881, 19034238.512681, 46711524.525749, 28282404.355726, 28250225.946574, 16672964.529204, 19671139.998501, 22680976.809651, 19906028.664636, 18647797.644452, 22885804.732493, 20800402.497296, 13169886.360127, 9382057.583593, 10816937.258597, 9193552.549272, 10059987.712680, 8579641.885300, 8626061.518131, 7261909.931731, 8274669.838028
NGC3769	0.870000, 2.620000, 4.370000, 6.110000, 7.850000, 9.595000, 11.390000, 13.415000, 15.795000, 24.445000, 33.215000, 35.885000	136277850.216756, 37263315.752177, 23745757.430534, 17732669.702781, 12327053.001904, 9397471.341924, 6524154.202216, 4738124.690274, 4196060.269404, 626934.388918, 962144.583887, 1692571.765613	286117812.213566, 55405931.864888, 24576544.098257, 12831848.871884, 8343514.530523, 5406038.934935, 3851429.288468, 2249486.123393, 1550178.497293, 124184.852254, 322597.189205, 344172.765622	-149839961.996810, -18142616.112711, -830786.667723, 4900820.830897, 3983538.471381, 3991432.406989, 2672724.913749, 2488638.566880, 2645881.772110, 502749.536664, 639547.394682, 1348398.999991
NGC3877	0.435000, 1.305000, 2.175000, 3.055000, 3.935000, 4.805000, 5.675000, 6.545000, 7.415000, 8.285000, 9.160000, 10.035000, 10.910000	101730870.075407, 115983737.360025, 121860706.413875, 90795899.425280, 79703269.727227, 66112001.967375, 55170365.665746, 52192680.473616, 43421952.380952, 41839487.311730, 34396498.019047, 33008722.279050, 27951995.226692	738859346.632122, 163382672.260883, 107129704.352533, 79582683.009044, 72234962.858712, 72535379.893801, 78472390.347756, 68967862.717060, 63604081.385723, 56856567.002310, 51000277.056187, 40598849.597325, 37868555.656866	-637128476.556715, -47398934.900859, 14731002.061342, 11213216.416236, 7468306.868515, -6423377.926426, -23302024.682010, -16775182.243444, -20182129.004771, -15017079.690580, -16603779.037140, -7590127.318276, -9916560.430174
NGC3893	0.870000, 2.620000, 4.370000, 6.110000, 7.895000, 9.855000, 12.010000, 14.225000, 16.315000, 18.175000	374235663.778911, 99423533.965300, 68203617.854433, 34101130.581934, 28321210.978744, 18039397.567898, 14218874.246936, 9500989.585685, 10226326.975543, 7216142.565722	733140885.073089, 120995773.495053, 82134237.012335, 28918367.332825, 27809388.476697, 11262491.059746, 10331185.873161, 4931917.301219, 6348438.539460, 3829266.154232	-358905221.294177, -21572239.529753, -13930619.157902, 5182763.249108, 511822.502047, 6776906.508153, 3887688.373775, 4569072.284466, 3877888.436083, 3386876.411490
NGC3917	0.435000, 1.305000, 2.175000, 3.055000, 3.935000, 4.805000, 5.675000, 6.545000, 7.415000, 8.285000, 9.160000, 10.035000, 10.910000, 11.770000, 12.655000, 13.530000, 14.400000	42041839.163816, 44039457.899775, 44671451.877505, 54398370.423343, 32802590.186163, 39776008.291414, 30610399.132338, 33749590.958378, 26568974.058654, 27183668.733180, 21812818.608708, 21294956.839993, 18700778.467695, 18468346.325159, 15257294.156157, 16618450.419033, 13177493.756695	90436667.356831, 33055235.973687, 28928846.716227, 26832824.446551, 26401568.803017, 26499156.724382, 24130876.507607, 21798970.880045, 19515657.315013, 16524771.574019, 15476042.774090, 12954304.866873, 11957318.791664, 10296116.902801, 8315562.194963, 7892865.942529, 6129026.682618	-48394828.193015, 10984221.926088, 15742605.161278, 27565545.976792, 6401021.383146, 13276851.567031, 6479522.624731, 11950620.078333, 7053316.743641, 10658897.159161, 6336775.834618, 8340651.973121, 6743459.676031, 8172229.422358, 6941731.961194, 8725584.476504, 7048467.074078
NGC3949	0.870000, 2.175000, 3.055000, 3.935000, 4.805000, 5.675000, 6.590000	269289481.917296, 122974321.579398, 112337455.577084, 73577467.085168, 71725972.228613, 54977906.077690, 49894464.131435	458313233.298943, 193884291.487834, 207478769.036818, 83569582.889131, 99731899.331460, 43458403.742149, 50660066.813083	-189023751.381647, -70909969.908435, -95141313.459734, -9992115.803963, -28005927.102847, 11519502.335541, -765602.681648
NGC3953	1.750000, 4.370000, 6.110000, 7.850000, 9.595000, 11.330000, 13.065000, 14.810000	144121484.054920, 54033372.709473, 61635036.561541, 34913076.040588, 35145613.813437, 23556880.082374, 24579637.841085, 14830962.148899	183291656.043413, 56197412.964239, 71709011.043192, 43380640.046909, 42806954.207638, 27935734.672748, 26069322.464176, 15903533.949447	-39170171.988493, -2164040.254766, -10073974.481652, -8467564.006321, -7661340.394201, -4378854.590374, -1489684.623091, -1072571.800548
NGC3972	0.435000, 1.305000, 2.175000, 3.055000, 3.935000, 4.805000, 5.675000, 6.545000, 7.415000, 8.285000	111650206.613372, 92454351.786488, 55786581.320343, 50382546.804145, 39064254.163328, 36650479.624004, 32852802.040794, 32062894.966246, 27883517.293627, 24715347.192600	165341933.462336, 53261213.566310, 42921665.968076, 32442794.640115, 26681289.072445, 30243781.980394, 24976145.845019, 19275325.374156, 15497001.660290, 12332332.838427	-53691726.848963, 39193138.220178, 12864915.352267, 17939752.164030, 12382965.090884, 6406697.643610, 7876656.195775, 12787569.592090, 12386515.633338, 12383014.354173
NGC3992	4.595000, 11.490000, 16.070000, 20.645000, 25.230000, 29.815000, 34.405000, 39.070000, 43.730000	39244608.715870, 11555705.690573, 14572506.646972, 6611602.156245, 7342936.797994, 3011876.302854, 4950317.673502, 2249971.536347, 3437421.394090	30354829.456731, 11742116.196620, 10622475.855566, 5320244.455318, 4130048.459182, 2337049.681811, 2145386.763603, 1267258.862900, 1297775.049649	8889779.259139, -186410.506047, 3950030.791405, 1291357.700927, 3212888.338812, 674826.621043, 2804930.909898, 982712.673447, 2139646.344441
NGC4010	0.435000, 1.305000, 2.175000, 3.055000, 3.935000, 4.805000, 5.675000, 6.545000, 7.415000, 8.285000, 9.160000, 10.035000	109964944.656341, 44934521.284522, 31675415.253220, 37113954.689601, 28655168.874066, 31303179.695739, 29245423.951678, 32186188.608127, 23915364.984558, 23106772.001421, 17192289.496236, 17440485.655050	76364544.900237, 72303377.873093, 53037492.366227, 41503284.504530, 31816082.683578, 25970777.785215, 21967174.944978, 19398287.611682, 17148233.975192, 14237559.194344, 11788298.590597, 9967116.068042	33600399.756104, -27368856.588571, -21362077.113007, -4389329.814929, -3160913.809512, 5332401.910523, 7278249.006700, 12787900.996445, 6767131.009366, 8869212.807076, 5403990.905639, 7473369.587009
NGC4013	2.745000, 5.830000, 6.545000, 7.305000, 8.025000, 8.740000, 9.500000, 10.220000, 10.935000, 11.695000, 12.425000, 13.120000, 13.820000, 14.575000, 15.330000, 16.025000, 16.780000, 17.535000, 18.230000, 18.985000, 19.740000, 20.440000, 21.135000, 21.890000, 22.645000, 23.340000, 24.040000, 24.795000, 25.550000, 26.245000, 27.000000, 27.755000, 28.450000, 29.205000, 29.960000, 30.660000	70096019.410736, 15048672.945675, 134632624.787936, 22430533.653879, 110897374.043316, 24816774.891272, 74328286.027772, 22569640.887973, 60469824.298266, 19763233.717019, 54940462.867938, 20140387.736262, 43520677.453188, 7725944.106434, 36844926.094650, 10420669.249308, 28849396.314440, 10313108.485921, 30124211.827530, 8867495.364763, 27846149.254082, 11802501.096596, 26265441.221087, 9205085.017268, 23505922.849089, 11201483.727702, 21852331.134213, 10403469.460365, 20918992.727313, 12446687.728303, 16789212.267813, 11884767.920373, 18433187.726313, 9274722.665965, 16036020.022407, 9151678.457014	83307808.479357, 39080084.658683, 169529145.528682, 40714046.720875, 138404190.791012, 35861325.113225, 88060185.454962, 25857306.343869, 64638167.933356, 15516327.930259, 53157231.701674, 12854549.846113, 41834913.292344, 8606491.323059, 33607565.933916, 7966353.917917, 23639654.032246, 6386418.190042, 23259621.815077, 4508911.602819, 19723963.979013, 4392248.053736, 17386051.590239, 3245373.827990, 15143971.729020, 3371529.297302, 13339082.983093, 2647263.473449, 11798860.893037, 2756310.715553, 8997292.065861, 2433298.619135, 9474815.976416, 1858650.897347, 8549456.267852, 1893218.977457	-13211789.068621, -24031411.713008, -34896520.740746, -18283513.066997, -27506816.747696, -11044550.221953, -13731899.427190, -3287665.455896, -4168343.635090, 4246905.786760, 1783231.166263, 7285837.890149, 1685764.160844, -880547.216625, 3237360.160735, 2454315.331391, 5209742.282194, 3926690.295879, 6864590.012453, 4358583.761944, 8122185.275069, 7410253.042860, 8879389.630848, 5959711.189278, 8361951.120069, 7829954.430400, 8513248.151120, 7756205.986916, 9120131.834276, 9690377.012750, 7791920.201952, 9451469.301238, 8958371.749897, 7416071.768618, 7486563.754555, 7258459.479557
NGC4051	0.870000, 2.620000, 4.370000, 6.110000, 7.850000, 9.595000, 11.330000	260603298.615317, 30981910.768021, 43261918.790991, 26810202.415613, 21427813.854529, 13329170.506596, 13436896.540192	508373117.393079, 25327320.921756, 54640081.049134, 35451397.443047, 35379397.863239, 16204700.246109, 17982853.404083	-247769818.777762, 5654589.846264, -11378162.258143, -8641195.027434, -13951584.008710, -2875529.739513, -4545956.863891
NGC4068	0.105000, 0.425000, 0.850000, 1.270000, 1.695000, 2.120000	26764601.477065, 22424940.414752, 25027991.451942, 24605576.313968, 22258375.513982, 24202232.008898	58206018.406913, 38098024.240523, 21622055.648036, 17505835.874565, 14420727.686878, 10557409.049923	-31441416.929848, -15673083.825771, 3405935.803905, 7099740.439402, 7837647.827103, 13644822.958975
NGC4085	0.435000, 1.305000, 2.225000, 3.145000, 4.015000, 4.885000, 5.760000	126792644.848330, 111752528.632128, 89980726.779127, 69086501.063354, 53456350.777060, 45052570.418429, 38359637.278715	639861285.100143, 251495424.507729, 125445603.106935, 96265354.597711, 80785652.871177, 51137179.252384, 39719849.101562	-513068640.251813, -139742895.875601, -35464876.327808, -27178853.534356, -27329302.094117, -6084608.833955, -1360211.822847
NGC4088	0.870000, 2.620000, 4.370000, 6.110000, 7.850000, 9.595000, 11.330000, 13.065000, 14.810000, 16.550000, 18.350000, 20.380000	128299377.259217, 74792896.705914, 45524783.234151, 37994418.596143, 25114029.574169, 20564101.496316, 14950423.709321, 13420462.930174, 10298314.771904, 9610418.889502, 8842225.167209, 6712322.274932	334665371.276337, 116107197.597974, 119871288.487573, 73967080.299094, 43967380.614140, 35195085.403842, 24652279.260359, 17476126.965734, 13524366.553735, 10680917.857403, 8012599.455449, 5375777.591639	-206365994.017121, -41314300.892060, -74346505.253422, -35972661.702951, -18853351.039970, -14630983.907525, -9701855.551037, -4055664.035560, -3226051.781830, -1070498.967901, 829625.711761, 1336544.683293
NGC4100	1.305000, 3.055000, 3.935000, 4.805000, 5.675000, 6.545000, 7.415000, 8.285000, 9.160000, 10.035000, 10.910000, 11.770000, 12.655000, 13.530000, 14.400000, 15.270000, 16.145000, 17.015000, 17.885000, 18.755000, 19.625000, 20.555000, 21.485000, 22.355000	113917158.058741, 83920443.114701, 111899426.417112, 79652588.690827, 83988240.785310, 63260646.738005, 62663092.814525, 47409365.289282, 47681019.279277, 38896978.236365, 38434328.371342, 32589308.524295, 28671075.109489, 26788040.755966, 23740144.706525, 21931608.656254, 19956543.789044, 21639479.202862, 17648816.303868, 16067595.178829, 12366944.066011, 12711712.443353, 11290007.179744, 13557338.914387	126210690.344382, 48491225.109987, 106018732.511480, 78092817.042438, 96951697.849973, 72640235.488788, 61474280.988946, 48167524.906744, 38327157.908078, 30851991.110630, 26657421.819896, 24041672.437332, 19303013.680704, 18465886.272509, 14936562.050599, 14425904.219849, 11772213.887520, 11765165.112674, 9526867.600365, 9496870.947205, 7737592.277899, 6756204.666283, 6359731.365571, 6429481.455462	-12293532.285641, 35429218.004714, 5880693.905632, 1559771.648389, -12963457.064663, -9379588.750782, 1188811.825578, -758159.617463, 9353861.371199, 8044987.125736, 11776906.551446, 8547636.086963, 9368061.428785, 8322154.483457, 8803582.655927, 7505704.436405, 8184329.901524, 9874314.090188, 8121948.703503, 6570724.231624, 4629351.788112, 5955507.777071, 4930275.814173, 7127857.458925
