Galaxy Name	Radius	Total Mass Density	Visible Mass Density	Dark Matter Density
ESO116-G012	0.125000, 0.540000, 1.105000, 1.615000, 2.265000, 2.935000, 3.435000, 3.905000, 4.680000, 5.640000, 6.430000, 7.185000, 7.940000, 8.705000, 9.475000	376634604.200293, 118096739.376547, 63980384.001310, 88585012.076118, 46516887.573824, 44803747.365276, 61281794.330020, 60694176.069842, 25567729.273223, 25732048.196826, 23983350.083537, 22165478.575012, 19800253.046573, 18196657.651226, 16761805.541635	258997013.567118, 91278289.128926, 70725747.443715, 63985156.009745, 24323804.419337, 31758818.277913, 28934006.523189, 28482289.515740, 10624092.347025, 8272262.911296, 8386928.684931, 6565935.949055, 6424962.119420, 4982720.689689, 4208026.228813	117637590.633176, 26818450.247621, -6745363.442405, 24599856.066373, 22193083.154487, 13044929.087362, 32347787.806831, 32211886.554101, 14943636.926198, 17459785.285530, 15596421.398605, 15599542.625957, 13375290.927154, 13213936.961537, 12553779.312822
ESO444-G084	0.130000, 0.515000, 1.030000, 1.550000, 2.065000, 2.855000, 3.915000	266970422.008586, 107105125.179621, 66161349.194088, 42321674.749864, 39722566.208067, 17638517.133528, 9753618.036592	71845966.458199, 30412196.725353, 11927311.865643, 8819643.605378, 5482227.792616, 1415004.467373, 615879.918659	195124455.550387, 76692928.454268, 54234037.328445, 33502031.144486, 34240338.415451, 16223512.666155, 9137738.117932
ESO563-G021	0.225000, 0.895000, 1.785000, 2.675000, 3.565000, 4.455000, 5.345000, 6.240000, 7.135000, 8.025000, 9.350000, 11.145000, 12.750000, 14.310000, 16.005000, 17.695000, 19.430000, 21.120000, 22.810000, 24.545000, 26.235000, 27.930000, 29.665000, 31.355000, 33.045000, 34.780000, 36.475000, 38.165000, 39.895000, 41.585000	95061846.370464, 102281653.475367, 48722010.548802, 101541897.696624, 68553479.885889, 144872595.351644, 109549447.699049, 127635619.594037, 116804915.188111, 120023502.612315, 56215067.481053, 53305424.726678, 49240666.533121, 42460035.695792, 34654538.690786, 34757697.217388, 27786465.511615, 29498079.031801, 23356865.638406, 23700798.320055, 19898511.412897, 20441353.705048, 16606152.844297, 18651385.291665, 15566542.658607, 17177478.271517, 14974756.045827, 15440762.113080, 12250099.004681, 14165002.031397	1130953109.524410, 405943402.694583, 153353430.725312, 117271633.561356, 91584243.436693, 94721038.304992, 96054640.464621, 92762695.224270, 85133559.320608, 87677861.409196, 48483904.375629, 39093001.473374, 43418025.079754, 33570358.580530, 29223517.417775, 24525884.270756, 21479260.604231, 21450372.785149, 17982887.429378, 15227063.368226, 14322846.930966, 11382455.327446, 10276995.507817, 9329729.337560, 8207384.536730, 7052028.721730, 6994684.250960, 5780124.351926, 5484317.514486, 5064881.551741	-1035891263.153946, -303661749.219217, -104631420.176510, -15729735.864732, -23030763.550804, 50151557.046652, 13494807.234428, 34872924.369768, 31671355.867502, 32345641.203119, 7731163.105424, 14212423.253305, 5822641.453367, 8889677.115262, 5431021.273011, 10231812.946632, 6307204.907384, 8047706.246652, 5373978.209028, 8473734.951829, 5575664.481931, 9058898.377602, 6329157.336480, 9321655.954105, 7359158.121877, 10125449.549787, 7980071.794866, 9660637.761153, 6765781.490195, 9100120.479657
F561-1	0.805000, 2.420000, 4.035000, 5.645000, 7.255000, 8.860000	11383809.701965, 8108830.574626, 3772068.390870, 3490184.998296, 2203544.693254, 2011127.491449	17581665.808827, 6499505.159373, 3403931.219483, 3577927.067800, 2981436.160678, 2533125.602242	-6197856.106861, 1609325.415252, 368137.171387, -87742.069504, -777891.467425, -521998.110793
F563-1	0.535000, 1.425000, 2.135000, 2.730000, 3.005000, 3.115000, 5.070000, 7.765000, 8.920000, 9.575000, 9.985000, 10.960000, 13.200000, 14.995000, 16.680000, 18.475000, 19.560000	22989242.238328, 33237664.199352, 35316075.708996, 55575926.324040, 259890548.597601, 185085808.315441, 7338758.335999, 7424616.241417, 13449435.383363, 20019660.445085, 29616353.642009, 8737939.268720, 3005695.544373, 10304654.598477, 2801169.323065, 6374113.821229, 4076287.619576	15947655.368368, 8980608.806064, 6807605.768628, 6597438.024967, 36809021.310328, 18067978.333686, 1212395.734333, 894215.572028, 2813666.394312, 2086929.310945, 8653276.848808, 956452.394879, 447544.736450, 1140356.039930, 448973.318596, 726095.611626, 862765.584337	7041586.869959, 24257055.393288, 28508469.940368, 48978488.299072, 223081527.287273, 167017829.981755, 6126362.601666, 6530400.669390, 10635768.989051, 17932731.134140, 20963076.793201, 7781486.873842, 2558150.807923, 9164298.558548, 2352196.004470, 5648018.209603, 3213522.035240
F563-V1	0.655000, 1.970000, 3.280000, 4.585000, 5.895000, 7.210000	4521968.838715, 3548418.043178, 2744487.742675, 1551876.034762, 1164111.184354, 757872.069885	4523199.819121, 2715713.759752, 2659379.007219, 1545647.718635, 1377716.040026, 1038845.992224	-1230.980406, 832704.283426, 85108.735456, 6228.316127, -213604.855671, -280973.922339
F563-V2	0.140000, 0.575000, 1.165000, 1.755000, 2.200000, 3.555000, 6.310000, 8.280000, 9.440000, 10.325000	97338696.148895, 85840593.676398, 87469617.115491, 94345097.082254, 125621914.462274, 29361848.641725, 7714346.024808, 20264173.480071, 10428691.034568, 40123686.496250	27213661.361212, 22612569.441471, 18880196.026448, 17440187.690362, 21251519.165509, 5259407.993098, 1900338.640589, 4451916.364661, 2234580.441188, 8655702.599380	70125034.787682, 63228024.234926, 68589421.089042, 76904909.391892, 104370395.296766, 24102440.648627, 5814007.384219, 15812257.115410, 8194110.593379, 31467983.896870
F565-V2	0.630000, 1.885000, 3.145000, 4.405000, 5.660000, 6.915000, 8.170000	15984021.017401, 13589237.051326, 12840913.785850, 10667468.769919, 8633274.865811, 8087454.706228, 7201862.973990	5514247.943844, 3229734.172915, 1948044.209520, 1475076.547945, 1561224.866982, 1276712.232086, 1125189.901720	10469773.073557, 10359502.878411, 10892869.576330, 9192392.221974, 7072049.998829, 6810742.474142, 6076673.072270
F567-2	0.960000, 2.875000, 4.790000, 6.710000, 8.630000	10578151.119807, 7681475.788866, 2425890.106501, 2418170.984412, 1803351.060449	9784112.214610, 3601111.696988, 1187385.833221, 1593755.783348, 1048216.155513	794038.905197, 4080364.091878, 1238504.273280, 824415.201065, 755134.904936
F568-1	0.220000, 0.880000, 1.760000, 2.640000, 3.520000, 4.400000, 5.185000, 6.505000, 7.925000, 8.805000, 9.685000, 11.680000	68612242.882957, 60962989.629585, 52227575.589856, 48919933.312581, 43926005.985149, 36781266.348297, 39354178.642979, 16057593.403655, 19482162.836156, 25404913.685266, 18002121.949037, 7729739.133387	43043472.619429, 25347225.843427, 12074175.156039, 9091909.689995, 5919686.283352, 5724341.645407, 5702232.047945, 3528514.380206, 3878229.783191, 5912078.955411, 3880782.681490, 1888055.378946	25568770.263527, 35615763.786158, 40153400.433817, 39828023.622586, 38006319.701796, 31056924.702889, 33651946.595034, 12529079.023449, 15603933.052965, 19492834.729855, 14121339.267547, 5841683.754441
F568-3	0.320000, 0.910000, 1.490000, 1.915000, 2.405000, 2.890000, 3.320000, 3.915000, 4.395000, 4.870000, 5.265000, 5.850000, 7.705000, 9.635000, 11.080000, 13.005000, 14.980000, 16.960000	20229776.600149, 18245755.491716, 18144266.273373, 32024832.455575, 26013482.677461, 52260450.029911, 29150469.093750, 29802325.938135, 38867773.002565, 28867454.053985, 48721610.331029, 18074493.298794, 5442167.851974, 8301113.246669, 6125299.556045, 4394074.169798, 5581198.433296, 3817849.524293	24374933.608241, 16121617.825804, 12538235.844505, 17614511.541944, 11752853.064288, 14626821.870815, 12892947.635064, 7840794.355195, 14613182.552194, 7577459.441647, 19431031.455978, 5639390.791426, 2203040.996274, 2902575.866597, 2365592.556948, 1270283.079349, 1591630.930628, 985688.943517	-4145157.008092, 2124137.665912, 5606030.428868, 14410320.913632, 14260629.613172, 37633628.159095, 16257521.458685, 21961531.582941, 24254590.450371, 21289994.612338, 29290578.875051, 12435102.507369, 3239126.855700, 5398537.380071, 3759706.999097, 3123791.090449, 3989567.502669, 2832160.580777
