galaxy name	Chi^2/df	rs	c200	v200	data points	galaxy_type
UGC00731	0.12121345834348335	3.096331561280352	26.92355175015463	47.87559144149119	12	Im
UGC00891	0.007932228545609694	4.290348147728337	0.03750231628905478	3.1583730075847534	5	Sm
UGC01230	0.14782594602384486	4.148734997944602	0.11828428270989916	15.807295988220513	11	Sm
UGC01281	0.06201518912019562	3.2468590899547096	0.07319595201781263	5.869163595421734	25	Sdm
UGC02023	0.019433995954679206	7.091087818084423	0.04309395433651101	5.853060871333434	5	Im
UGC02259	0.09116473971834571	1.6343126140760647	13.699586874114697	69.84954062629488	8	Sdm
UGC02455	0.3740289268081943	4.916068934376338	67.806862270244	40.23250261751796	8	Im
UGC02487	0.22952834447372464	5.679653699416816	0.038687422420936896	18.519168741430768	17	S0
UGC02885	4.747077586144539	3.3681583332460137	0.06458793378166279	26.963709307864438	19	Sc
UGC02916	2.2289267107233632	1.1137829923657911	0.008017149805040445	2.3496972185139273	43	Sab
UGC02953	7.908238358365096	1.8753905807498346	0.04645901215478906	18.69074406175715	115	Sab
UGC03205	1.3544540797859692	2.0497058954695198	0.036769701752556797	10.87496200779478	48	Sab
UGC03546	2.3727709761656635	0.6818787774052458	0.019496866068692126	6.017878617006726	30	Sa
UGC03580	3.6012849249127443	2.291778049169771	0.16087717514315703	22.269549494090462	47	Sa
UGC04278	0.4526687412953881	6.374194385626866	0.07151905772979805	9.948933581454332	25	Sd
UGC04305	0.2621679690584313	1.1647827035591067	0.0674289450236499	2.8280331343081757	22	Im
UGC04325	0.016469294370103554	1.5052134903792334	12.485961453594022	76.15973310071836	8	Sm
UGC04483	0.019523955150817316	0.5064529737398937	0.17137191959502004	4.903103894259309	8	Im
UGC04499	0.005121613258710435	2.7925608726434485	22.80147353825311	51.45916123522002	9	Sdm
UGC05005	0.10485185845135206	8.835031332486565	101.88226210093784	41.730572653517584	11	Im
UGC05253	5.693866932085369	0.8076496150139235	0.03262390036976584	11.142832749590998	73	Sab
UGC05414	0.006293225922324415	2.505061419574162	35.72070137702754	39.7735910838045	6	Im
UGC05716	0.21299969356315127	2.7513408079401525	0.03966557175181489	3.501870604493685	12	Sm
UGC05721	0.20058569904049586	0.8378720033077095	0.10010825037694195	9.868269794790697	23	Sd
UGC05750	0.08966781908205591	7.368823212189362	0.0554390244173262	5.595694411921596	11	Sdm
UGC05764	0.060030761275022076	1.0025403362704073	0.02988050960821764	1.953540062149924	10	Im
UGC05829	0.12226142560710566	4.515592510300424	0.0774419632383016	6.780818177667078	11	Im
UGC05918	0.01302059820545537	1.6288381793792097	75.4307415348621	20.211415762309077	8	Im
UGC05986	0.09801775887978637	2.629682788825613	0.07982369175114366	11.05252836626485	15	Sm
UGC05999	0.052977683626693736	7.28603943307517	0.03584834419685784	4.533063436274038	5	Im
UGC06399	0.007052352528499045	3.3266616907203264	0.05281383135979124	5.746994963880575	9	Sm
UGC06446	0.1509880266080944	1.993840023924151	0.11313745906497297	10.997364401834995	17	Sd
UGC06614	3.045736067598135	5.454242396605805	0.012238792757236482	3.01611635933477	13	Sa
UGC06628	0.004778725023778453	1.568999613041128	0.05689952859338218	2.9413671296551005	7	Sm
UGC06667	0.010945399204782272	3.351667570910934	0.031744616970221205	3.441210138972452	9	Scd
UGC06786	5.548075180960037	1.3326519940759052	0.008109057389928256	2.4063665640363814	45	S0
UGC06787	5.902662950375814	0.6799867797292595	0.013197590715956659	4.759224508885501	71	Sab
