galaxy_name	min_chi^2/df	min_ML_ratio	data_points	galaxy_type
UGC02487	135.21102413584208	2.349999999999994	17	S0
UGC02885	30.486467819222234	1.440000000000001	19	Sc
UGC02916	82.97186785010435	0.7400000000000004	43	Sab
UGC02953	448.82021365920383	1.1500000000000008	115	Sab
UGC03205	68.52202668492993	1.480000000000001	48	Sab
UGC03546	59.10161978204703	1.1100000000000008	30	Sa
UGC03580	325.05953120778594	1.0200000000000007	47	Sa
UGC04278	7.357057192842521	3.139999999999977	25	Sd
UGC04305	1.6262774273243341	0.7700000000000005	22	Im
UGC04325	2.658368163828598	3.4899999999999696	8	Sm
UGC04483	6.692830487445372	3.799999999999963	8	Im
UGC04499	13.211212060458775	2.7499999999999853	9	Sdm
UGC05005	6.885250134429901	2.7299999999999858	11	Im
UGC05253	145.29965578062783	0.8900000000000006	73	Sab
UGC05414	6.27441749667954	1.9700000000000015	6	Im
UGC05716	330.424264101531	6.28999999999991	12	Sm
UGC05721	27.63975017460784	3.849999999999962	23	Sd
UGC05750	0.8480097031190599	2.899999999999982	11	Sdm
UGC05764	17.417988625673036	17.83999999999999	10	Im
UGC05829	1.1648317150923748	5.219999999999933	11	Im
UGC05918	0.15436737713717746	5.499999999999927	8	Im
UGC05986	35.56202467637337	2.429999999999992	15	Sm
UGC05999	17.38904466221964	3.9699999999999593	5	Im
UGC06399	2.3850610433934816	3.049999999999979	9	Sm
UGC06446	6.836414757823657	5.629999999999924	17	Sd
UGC06614	17.40604156792371	0.9800000000000006	13	Sa
UGC06628	0.3783249156564006	0.6900000000000004	7	Sm
UGC06667	1.8101078283864451	14.209999999999742	9	Scd
UGC06786	300.3415477493051	1.7200000000000013	45	S0
UGC06787	382.70388976614254	1.400000000000001	71	Sab
UGC06818	11.463631025942915	1.5700000000000012	8	Sm
UGC06917	8.855444866503477	2.1299999999999986	11	Sm
UGC06923	4.882822350563243	1.5400000000000011	6	Im
UGC06930	2.7502065824955717	2.299999999999995	10	Sd
UGC06973	59.78207896944387	0.4100000000000002	9	Sab
UGC06983	8.983245739968698	3.0799999999999783	17	Scd
UGC07089	2.691569178394244	1.500000000000001	12	Sdm
UGC07125	10.013495139802243	2.0300000000000007	13	Sm
UGC07151	4.533949447137828	1.7500000000000013	11	Scd
UGC07232	5.09698672800497	1.6800000000000013	4	Im
UGC07261	3.812259297886692	2.1899999999999973	7	Sdm
UGC07323	2.1561682803706583	1.390000000000001	10	Sdm
UGC07399	29.373424502103944	5.509999999999927	10	Sdm
UGC07524	2.6558864518873	3.519999999999969	31	Sm
UGC07559	1.9280526053499136	1.9700000000000015	7	Im
UGC07577	0.2672916959993889	0.8200000000000005	9	Im
UGC07603	26.555693554111986	3.47999999999997	12	Sd
UGC07608	2.1924342518605116	10.159999999999828	8	Im
UGC07690	3.421887209819563	1.6300000000000012	7	Im
UGC07866	0.4170124325376594	2.2699999999999956	7	Im
UGC08286	29.817972718501004	4.579999999999947	17	Scd
UGC08490	32.44616837284801	4.339999999999952	30	Sm
UGC08550	39.48503903121881	4.4999999999999485	11	Sd
UGC08699	46.162825203376975	1.0400000000000007	41	Sab
UGC08837	6.128419153410639	1.350000000000001	8	Im
UGC09037	24.42160611444813	0.7200000000000004	22	Scd
UGC09133	699.008200845664	1.380000000000001	68	Sab
UGC09992	0.021679689648862095	1.6800000000000013	5	Im
UGC10310	0.5361796908956215	2.809999999999984	7	Sm
UGC11455	27.30226747458397	0.8200000000000005	36	Scd
UGC11557	1.9421623995751824	0.6000000000000003	12	Sdm
UGC11820	162.08371205087326	8.949999999999854	10	Sm
UGC11914	8.858497794552319	0.9300000000000006	65	Sab
UGC12506	3.003743923755358	2.3099999999999947	31	Scd
UGC12632	2.476271330719423	4.869999999999941	15	Sm
UGC12732	23.15488371707998	5.739999999999922	16	Sm
UGCA281	1.7561602144453665	2.010000000000001	7	BCD
UGCA442	65.85170400128486	18.050000000000022	8	Sm
UGCA444	0.5388522834886024	24.160000000000977	36	Im
